===================================
Host: play.litecloud.me:25565
Version: 1.12.2
Date: 20.01.2021 13-13-24
===================================
[13:13:35:179] New connection from ::ffff:127.0.0.1
[13:13:36:235] CLIENT <- SERVER: play.login {"entityId":1526565114,"gameMode":0,"dimension":0,"difficulty":0,"maxPlayers":1,"levelType":"flat","reducedDebugInfo":false}
[13:13:36:377] CLIENT -> SERVER: play.held_item_slot {"slotId":0}
[13:13:36:381] CLIENT -> SERVER: play.settings {"locale":"en_US","viewDistance":6,"chatFlags":0,"chatColors":false,"skinParts":127,"mainHand":1}
[13:13:36:397] CLIENT <- SERVER: play.position {"x":7,"y":450,"z":7,"yaw":90,"pitch":10,"flags":0,"teleportId":9876}
[13:13:36:399] CLIENT <- SERVER: play.update_time {"age":[0,1],"time":[0,23700]}
[13:13:36:401] CLIENT <- SERVER: play.title {"action":3,"fadeIn":5,"stay":90,"fadeOut":15}
[13:13:36:403] CLIENT <- SERVER: play.title {"action":0,"text":"{\"text\":\"LiteCloud\",\"color\":\"yellow\",\"bold\":true}"}
[13:13:36:404] CLIENT <- SERVER: play.title {"action":1,"text":"{\"text\":\"Пожалуйста, подождите немного\",\"color\":\"white\"}"}
[13:13:36:407] CLIENT -> SERVER: play.teleport_confirm {"teleportId":9876}
[13:13:36:409] CLIENT -> SERVER: play.position_look {"x":7,"y":450,"z":7,"yaw":90,"pitch":10,"onGround":false}
[13:13:36:412] CLIENT -> SERVER: play.position_look {"x":7,"y":450,"z":7,"yaw":90,"pitch":10,"onGround":false}
[13:13:36:474] CLIENT -> SERVER: play.look {"yaw":90,"pitch":10,"onGround":false}
[13:13:36:531] CLIENT -> SERVER: play.position {"x":7,"y":449.9216,"z":7,"onGround":false}
[13:13:36:592] CLIENT -> SERVER: play.position {"x":7,"y":449.766368,"z":7,"onGround":false}
[13:13:36:656] CLIENT -> SERVER: play.position {"x":7,"y":449.53584064,"z":7,"onGround":false}
[13:13:36:692] CLIENT <- SERVER: play.chat {"message":"{\"text\":\"\",\"extra\":[{\"text\":\"[\",\"color\":\"white\"},{\"text\":\"Captcha\",\"color\":\"red\"},{\"text\":\"] Ожидайте завершения проверки...\",\"color\":\"white\"}]}","position":0}
[13:13:36:752] CLIENT -> SERVER: play.position {"x":7,"y":449.2315238272,"z":7,"onGround":false}
[13:13:36:754] CLIENT -> SERVER: play.position {"x":7,"y":448.854893350656,"z":7,"onGround":false}
[13:13:36:812] CLIENT -> SERVER: play.position {"x":7,"y":448.4073954836429,"z":7,"onGround":false}
[13:13:36:875] CLIENT -> SERVER: play.position {"x":7,"y":447.89044757397005,"z":7,"onGround":false}
[13:13:36:881] CLIENT -> SERVER: play.position {"x":7,"y":447.30543862249067,"z":7,"onGround":false}
[13:13:36:936] CLIENT -> SERVER: play.position {"x":7,"y":446.65372985004086,"z":7,"onGround":false}
[13:13:36:999] CLIENT -> SERVER: play.position {"x":7,"y":445.93665525304004,"z":7,"onGround":false}
[13:13:37:55] CLIENT -> SERVER: play.position {"x":7,"y":445.15552214797924,"z":7,"onGround":false}
[13:13:37:106] CLIENT -> SERVER: play.position {"x":7,"y":444.31161170501963,"z":7,"onGround":false}
[13:13:37:169] CLIENT -> SERVER: play.position {"x":7,"y":443.40617947091926,"z":7,"onGround":false}
[13:13:37:174] CLIENT -> SERVER: play.position {"x":7,"y":442.4404558815009,"z":7,"onGround":false}
[13:13:37:243] CLIENT -> SERVER: play.position {"x":7,"y":441.4156467638709,"z":7,"onGround":false}
[13:13:37:308] CLIENT -> SERVER: play.position {"x":7,"y":440.33293382859347,"z":7,"onGround":false}
[13:13:37:372] CLIENT -> SERVER: play.position {"x":7,"y":439.1934751520216,"z":7,"onGround":false}
[13:13:37:377] CLIENT -> SERVER: play.position {"x":7,"y":437.9984056489812,"z":7,"onGround":false}
[13:13:37:435] CLIENT -> SERVER: play.position {"x":7,"y":436.7488375360016,"z":7,"onGround":false}
[13:13:37:497] CLIENT -> SERVER: play.position {"x":7,"y":435.4458607852816,"z":7,"onGround":false}
[13:13:37:559] CLIENT -> SERVER: play.position {"x":7,"y":434.09054356957597,"z":7,"onGround":false}
[13:13:37:621] CLIENT -> SERVER: play.position {"x":7,"y":432.68393269818444,"z":7,"onGround":false}
[13:13:37:623] CLIENT -> SERVER: play.position {"x":7,"y":431.2270540442207,"z":7,"onGround":false}
[13:13:37:685] CLIENT -> SERVER: play.position {"x":7,"y":429.72091296333633,"z":7,"onGround":false}
[13:13:37:693] CLIENT <- SERVER: play.chat {"message":"{\"text\":\"\",\"extra\":[{\"text\":\"[\",\"color\":\"white\"},{\"text\":\"Captcha\",\"color\":\"red\"},{\"text\":\"] Ожидайте завершения проверки...\",\"color\":\"white\"}]}","position":0}
[13:13:37:747] CLIENT -> SERVER: play.position {"x":7,"y":428.16649470406963,"z":7,"onGround":false}
[13:13:37:810] CLIENT -> SERVER: play.position {"x":7,"y":426.5647648099882,"z":7,"onGround":false}
[13:13:37:873] CLIENT -> SERVER: play.position {"x":7,"y":424.91666951378846,"z":7,"onGround":false}
[13:13:37:875] CLIENT -> SERVER: play.position {"x":7,"y":423.2231361235127,"z":7,"onGround":false}
[13:13:37:935] CLIENT -> SERVER: play.position {"x":7,"y":421.4850734010424,"z":7,"onGround":false}
[13:13:37:998] CLIENT -> SERVER: play.position {"x":7,"y":419.7033719330216,"z":7,"onGround":false}
[13:13:38:60] CLIENT -> SERVER: play.position {"x":7,"y":417.87890449436117,"z":7,"onGround":false}
[13:13:38:122] CLIENT -> SERVER: play.position {"x":7,"y":416.01252640447393,"z":7,"onGround":false}
